1000
0.10	0.11	0.52	40000
0.20	0.21	0.22	50000
0.30	0.31	0.32	15000
0.40	0.41	0.42	25000
0.50	0.51	0.52	35000
0.10	0.11	0.52	400000
0.20	0.21	0.22	50000
0.30	0.31	0.32	15000
0.40	0.41	0.42	25000
0.50	0.51	0.52	35000
0.10	0.11	0.52	40000
0.20	0.21	0.22	50000
0.30	0.31	0.32	15000
0.40	0.41	0.42	25000
0.50	0.51	0.52	35000
0.10	0.11	0.52	40000
0.20	0.21	0.22	50000
0.30	0.31	0.32	150000
0.40	0.41	0.42	25000
0.50	0.51	0.52	35000
0.10	0.11	0.52	40000
0.20	0.21	0.22	50000
0.30	0.31	0.32	15000
0.40	0.41	0.42	250000
0.50	0.51	0.52	35000
